epochs,9-1,10-1,11-1,9-2,10-2,11-2
22500.0,11029.95,9480.969999999996,8311.669999999998,10069.63,8660.23,8867.720000000001
23000.0,9708.530000000004,9849.36,9904.080000000002,10329.120000000004,8980.780000000002,9273.53
23500.0,23186.43,8869.03,8337.58,13790.22,9918.33,8336.790000000003
24000.0,10629.49,8828.85,8452.990000000002,10106.96,9259.889999999998,8235.83
24500.0,9456.190000000004,9267.91,8657.950000000003,9831.149999999998,8848.04,8550.260000000002
25000.0,10312.610000000004,8856.250000000002,8401.300000000001,9837.560000000003,10395.0,8884.11
25500.0,9781.540000000005,8614.070000000002,8761.460000000001,10599.97,9410.24,10106.71
26000.0,9520.250000000004,8937.780000000004,8697.250000000004,9866.9,8692.640000000003,8979.18
26500.0,9863.699999999995,9896.08,8311.669999999998,9645.02,9222.58,8505.710000000001
27000.0,9820.71,9184.920000000002,9439.490000000002,9691.149999999998,9768.26,9777.519999999997
27500.0,9178.72,9131.540000000005,8657.950000000003,9866.9,8749.400000000001,8979.18
28000.0,9399.280000000002,9131.540000000005,8964.170000000002,10332.800000000005,8979.699999999999,8981.990000000002
28500.0,9399.280000000002,8973.86,8964.170000000002,11049.090000000006,8979.699999999999,8981.990000000002
29000.0,9007.230000000003,9092.65,9138.750000000002,9841.3,9416.610000000004,9695.560000000003
29500.0,11253.490000000009,9374.2,9320.090000000004,10024.170000000002,8982.009999999998,8903.06
30000.0,9158.260000000002,9486.39,8652.02,9929.89,8504.300000000001,8423.330000000002
30500.0,9675.440000000002,9095.11,9725.889999999998,8987.74,9078.48,8012.42
31000.0,9178.72,9131.540000000005,8657.950000000003,10247.820000000003,9013.86,9203.32
31500.0,9399.280000000002,9131.540000000005,8964.170000000002,10739.450000000004,8979.699999999999,8981.990000000002
32000.0,8997.710000000003,9254.44,8503.0,9187.61,8501.83,19542.6
32500.0,10039.080000000004,9314.920000000004,8693.73,10111.940000000004,10049.21,9656.850000000004
33000.0,9080.91,9306.630000000005,9719.29,11183.03,23342.890000000003,10050.710000000005
33500.0,9078.59,9103.71,8430.939999999999,9715.84,9680.269999999997,8438.900000000001
